ID,Region,Category,Title,Description,Source,Link,Proximity_Score
2a43bc75b7bd147056a65a48f0cd868e,NORTEAMERICA,Science & Tech,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,71.31
a2335da9c803cf231ba98fa638aeaeb5,NORTEAMERICA,Science & Tech,‘You bet’ — why they just don’t trust sports anymore,"Over the last six months, I have had multiple people with a deep understanding of the sports world volunteer a truly dejected and disgusted version of the same complaint: “I Just don’t trust sports anymore.” Each complaint revolves around the explosion in gambling, which is not only tainting the greater sports world but also ensnaring&#8230;",https://thehill.com/feed/,https://thehill.com/opinion/finance/5669811-you-bet-why-they-just-dont-trust-sports-anymore/,72.51
4534301e064888ddbc02de0b429965d7,NORTEAMERICA,Science & Tech,America forgets how deadly hepatitis B is. Taiwan offers lessons.,"Most Americans have never thought much about hepatitis B, and that's precisely because the vaccine works so well.",https://thehill.com/feed/,https://thehill.com/opinion/healthcare/5669968-hepatitis-b-vaccine-policy-change/,74.07
e7cf61084e20031b6b49f89e9fc317c9,NORTEAMERICA,Science & Tech,Tesla sales fall to lowest point since 2022,"Tesla vehicle sales declined for a second consecutive year in 2025, hitting their lowest point since 2022.The results mean that Chinese automaker BYD sold more EVs in 2025 than Tesla for the first time in a full year: 2.26 million for BYD vs. 1.64 million for Tesla.Why it matters: Tesla vehicle sales are critical to funding CEO Elon Musk's AI ambitions, including humanoid robots and self-driving cars.Driving the news: The company on Friday reported a 8.6% drop in deliveries — a close approximati",https://www.axios.com/feeds/feed.rss,https://www.axios.com/2026/01/02/tesla-sales-ev-elon-musk,75.92
4b0e0f55abc8af89ad6b789b764d3c17,NORTEAMERICA,Science & Tech,"AI in 2026: 'Show me the money""","The AI model maker race will continue in 2026, along with more agents and a growing pressure on companies to prove AI can pay off in the real world, experts tell Axios.Why it matters: AI may be both the current and next big thing, but success increasingly hinges less on being the ""best"" model and more on timing.The big picture: Rapid progress by OpenAI, Anthropic, Google and others drove frequent leapfrogging — and fierce price competition — in 2025. That dynamic is expected to intensify next ye",https://www.axios.com/feeds/feed.rss,https://www.axios.com/2026/01/01/ai-2026-money-openai-google-anthropic-agents,74.41
fab12db26acb718d997ac1fccc09882e,LATINOAMERICA,Science & Tech,Tomás Sánchez conjunta en sus pinturas paisajes y meditación,"El paisaje ha acompañado al pintor cubano Tomás Sánchez durante toda su vida. Desde su infancia ha dibujado la naturaleza que lo rodeaba. Su paso por escenas expresionistas ha estado también presente en su obra, marcada por su práctica de la meditación durante más de 55 años.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/cultura/a05n1cul?partner=rss,74.24
45f5835c5628b31d6ea5d8a47a9fbbf3,LATINOAMERICA,Science & Tech,"Entre ballenas, sangre y frío","Libros, cómics, una serie fenomenal y hasta el Nobel Krasznahorkai sirven para adentrarse en el territorio siempre fértil de Melville y el “¡por allí resopla!”",https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/cultura/2026-01-03/entre-ballenas-sangre-y-frio.html,75.16
107570447da9ec0d00e127d60464de50,EUROPA,Science & Tech,Swiss open criminal case against managers of ski resort bar after deadly fire,It comes after a preliminary investigation found the likely cause was sparklers on champagne bottles being carried too close to the ceiling.,http://feeds.bbci.co.uk/news/world/europe/rss.xml,https://www.bbc.com/news/articles/cjdjl303zxlo?at_medium=RSS&at_campaign=rss,86.03
6d7ebff4d5edd3131f668911e2a48aab,EUROPA,Science & Tech,Turkey detains 357 suspected IS members in nationwide raids,The arrests come just a day after three police officers were killed during a siege in the town of Yalova.,http://feeds.bbci.co.uk/news/world/europe/rss.xml,https://www.bbc.com/news/articles/c4g5gq19n9zo?at_medium=RSS&at_campaign=rss,77.26
9b2f4ceb9e1b21758f650723f048711c,EUROPA,Science & Tech,Swiss investigate bar Le Constellation managers,"Switzerland will hold a memorial mass this Sunday for the victims of the deadly New Year’s Eve fire at the Constellation bar, as investigators continue the painstaking process of identifying the remains, announcing they have so far formally identified 24 victims, including two 16-year-olds, while the bar’s two managers are under investigation for negligent manslaughter; France 24’s Olivia Bizot has been following developments from Crans-Montana and brings us this update.",https://www.france24.com/en/europe/rss,https://www.france24.com/en/video/20260104-swiss-investigate-bar-le-constellation-managers,85.69
e562512ff77f55f0afec98cbe7faaec9,EUROPA,Science & Tech,Crans-Montana fire: Swiss authorities launch probe into French bar managers,"Swiss authorities said on Saturday they had opened a criminal investigation into two French managers of a bar in a Swiss ski resort after a New Year’s Eve fire killed 40 revellers. The blaze, which broke out at a bar in Crans-Montana, injured 16 French nationals, while nine remain unaccounted for, according to an updated report released by the French Foreign Ministry.",https://www.france24.com/en/europe/rss,https://www.france24.com/en/live-news/20260103-crans-montana-fire-16-french-nationals-injured-nine-unaccounted-for,87.48
dcb742a6edf1b12a2ad3acd39227cc50,EUROPA,Science & Tech,"Crans-Montana: About 40 killed, 119 injured in fire","As Switzerland mourns, authorities are continuing to investigate the cause of the deadly fire and now believe it was triggered by sparklers placed on champagne bottles that came too close to the bar’s ceiling. Investigators are also examining whether the venue’s materials met fire safety regulations. Meanwhile, families anxiously await news of their loved ones, as some victims have been transferred to specialized burn units in hospitals in France and Italy, while six people remain unidentified. ",https://www.france24.com/en/europe/rss,https://www.france24.com/en/video/20260103-crans-montana-about-40-killed-119-injured-in-fire,87.4
18f104798677efed6be3401e62aa7be8,EUROPA,Science & Tech,Switzerland: Investigators examine nightclub fire origin sparkler link,"As Switzerland mourns, authorities are continuing to investigate the cause of the deadly fire and now believe it was triggered by sparklers placed on champagne bottles that came too close to the bar’s ceiling. Investigators are also examining whether the venue’s materials met fire safety regulations. Meanwhile, families anxiously await news of their loved ones, as some victims have been transferred to specialized burn units in hospitals in France and Italy, while six people remain unidentified. ",https://www.france24.com/en/europe/rss,https://www.france24.com/en/video/20260103-switzerland-investigators-examine-nightclub-fire-origin-sparkler-link,85.3
