ID,Region,Category,Title,Description,Source,Link,Proximity_Score
f96f4e459ad153e1ddcdb7bb77341729,NORTEAMERICA,Global Economy,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee",http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,80.28
30437287718da0bb07306d37f80e0d4f,NORTEAMERICA,Global Economy,Here's what you need to know if you haven't filed your return yet — and even if you have,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)",http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,74.73
e820de0a3ef11767d0a4589ac06ef1ca,NORTEAMERICA,Global Economy,Opinion: Why millionaires like us want to pay more in taxes,"Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.",http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,77.12
a3a3c9904f30186af54305c33a32d9f3,NORTEAMERICA,Global Economy,"China's economy is off to a solid start, rising 4.5% in Q1 2023",China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.,http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,81.69
6474348d97384b7f5f65e98bcb8c6694,NORTEAMERICA,Global Economy,Google-parent stock drops on fears it could lose search market share to AI-powered rivals,"Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.",http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,74.96
22fbd9b110f1dfca37b373d0481dd3d7,NORTEAMERICA,Global Economy,Trump Long Wanted to ‘Take the Oil.’ He Says He’ll Do It in Venezuela.,The White House had pointed to drug trafficking and migration as reasons to crack down on Nicolás Maduro. But oil emerged as central to President Trump.,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,https://www.nytimes.com/2026/01/03/us/politics/trump-venezuela-oil.html,82.56
dc68d0afa85dcf88bde039a1c33b2590,NORTEAMERICA,Global Economy,"With the President Gone, Venezuelans Race to Stock Up on Food",People hit grocery stores on Saturday as they anxiously waited for word on what would happen next.,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,https://www.nytimes.com/2026/01/03/world/americas/venezuelans-food.html,82.21
a313ad89fa281376191daf67fc9cacc5,NORTEAMERICA,Global Economy,Who wins when the IRS stops enforcement? Not small business.,"Small business owners face a tilted playing field when it comes to taxes, as large corporations are able to utilize sophisticated tax shelters to minimize their tax burden while small businesses are forced to pay every cent owed.",https://thehill.com/feed/,https://thehill.com/opinion/finance/5670212-small-business-tax-unfairness/,77.88
076cbdc266b5a6aa7c422de9ba65b11c,NORTEAMERICA,Global Economy,The next election will be decided by America’s sick,"America's sick will decide the 2026 midterm elections, as the American health care system is designed to put profits over patients and two-thirds of all bankruptcies are medical, while ACA premiums are expected to rise 114 percent in 2026.",https://thehill.com/feed/,https://thehill.com/opinion/healthcare/5669986-america-sick-health-care/,78.51
68bbbec939b96ecb2b3f0c0dc0f3ad52,NORTEAMERICA,Global Economy,Trump says the US will be ‘very strongly involved’ in Venezuelan oil,"The U.S. will be “very strongly involved” in Venezuela’s oil industry,&#160;President Trump&#160;said Saturday after the capture of Venezuelan leader Nicolás Maduro. Asked about the future of the country’s oil industry on Fox News’s&#160;“Fox &#38; Friends”, Trump said, “Well, I see that we’re going to be very strongly involved in it.” “We have the greatest oil&#8230;",https://thehill.com/feed/,https://thehill.com/homenews/administration/5671113-trump-venezuela-oil/,83.58
