ID,Region,Category,Title,Description,Source,Link,Proximity_Score
f5b0e94c51c2e4443a9987167bebbcda,LATINOAMERICA,Politics & Policy,Editorial: Legalidad internacional destruida,"En las primeras horas de ayer, el mundo asistió al más reciente episodio de la destrucción sistemática de la legalidad internacional emprendida por la administración de Donald Trump desde sus inicios. Sin el menor argumento, fuerzas militares de Estados Unidos lanzaron un bombardeo sobre la capital de Venezuela y otras localidades de ese país, secuestraron al presidente Nicolás Maduro y a su esposa, Cilia Flores, y se los llevaron con rumbo desconocido.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/opinion/002a1edi?partner=rss,90.76
a7a069480fb381d728b0b09beaf1bfc0,LATINOAMERICA,Politics & Policy,"Magdiel Sánchez Quiroz*: Venezuela, la hora del pueblo","En la madrugada  del 3 de enero de 2026, tropas de Estados Unidos realizaron una criminal incursión en territorio venezolano. Bombardearon distintos puntos estratégicos de ese país. Dañaron infraestructura. Asesinaron a militares, civiles y secuestraron al presidente de la República Bolivariana de Venezuela, Nicolás Maduro Moros y a su esposa, Cilia Flores. La operación representa el más grave y violento ataque que haya perpetrado Estados Unidos en contra de un país de América desde la invasión ",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/021a2pol?partner=rss,90.42
48bdc08e953bd911c50724359f0ac595,LATINOAMERICA,Politics & Policy,"“Venezuela sólo puede alegrarse del fin de la dictadura”, declara Macron","París. El presidente de Francia, Emmanuel Macron, declaró ayer que el “pueblo venezolano” sólo puede “alegrarse” del fin de la “dictadura (del presidente Nicolás) Maduro”, y reclamó una “transición pacífica” del poder en la república bolivariana. Antes, su canciller, Jean-Noël Barrot, afirmó que la operación militar que llevó al secuestro de Maduro “contraviene el principio de no uso de la fuerza, fundamental para el derecho internacional”.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/008n1pol?partner=rss,89.24
fe6605333a436d5b5bdcd89227fb5d23,LATINOAMERICA,Politics & Policy,"Marcos Roitman Rosenmann: Nunca con los agresores, siempre con la revolución  bolivariana","Dos hechos. La fuerza aérea estadunidense ha penetrado en territorio de la República Bolivariana de Venezuela, bombardeado Caracas, atacado centros neurálgicos adentrándose en los estados de Miranda, Aragua y La Guaira y posteriormente, en una operación de sustracción, secuestra al presidente constitucional, Nicolás Maduro, y a la primera dama, Cilia Flores, para trasladarlo a New York para ser juzgado por tribunales estadunidenses y acorde a sus leyes bajo la acusación de ser narcoterrorista. E",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/020a1pol?partner=rss,89.85
90bb2c212b9fd698b6ae3e6f5dc4a94f,LATINOAMERICA,Politics & Policy,Llama Pekín a “liberar inmediatamente” a Maduro,"Pekín. China pidió hoy a Estados Unidos “liberar inmediatamente” al presidente Nicolás Maduro y su esposa Celia Flores, informó la agencia Xinhua. Horas antes condenó los ataques militares de Estados Unidos contra Venezuela y el secuestro de Maduro, acciones que amenazan “la paz y la seguridad en América Latina y el Caribe”.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/009n2pol?partner=rss,87.69
a495a7cdf469b784f1d4ce0f08444fa5,LATINOAMERICA,Politics & Policy,"Contradictorio, entregar premio por la paz al responsable de varios ataques: Cappa","Si algo deja claro la FIFA cuando hace política es la contradicción. No sólo pasó por encima de sus principios éticos de presunta neutralidad al hacer campaña para que se entregara el Nobel de la Paz a Donald Trump; al no conseguirlo, creó un premio a la medida del presidente cuyo gobierno ha bombardeado al menos seis países en el último año. El más reciente es Venezuela y su nota más alta el secuestro del presidente Nicolás Maduro.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/deportes/a09n1dep?partner=rss,85.78
83e09438e12e320ad282ed45c7e5e272,LATINOAMERICA,Politics & Policy,Condena categórica de Sheinbaum a la agresión en contra de Venezuela,"Luego del ataque militar de Estados Unidos en Venezuela y la captura del presidente Nicolás Maduro, el gobierno de México y la presidenta Claudia Sheinbaum Pardo expresaron una condena categórica a la intervención armada, defendieron la soberanía de los pueblos y reiteraron que la política exterior mexicana se rige por el apego al derecho internacional, la solución pacífica de las controversias y la no subordinación frente a ninguna potencia.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/005n1pol?partner=rss,89.52
f3ae40a3a13406d0d94683a92eb30a29,LATINOAMERICA,Politics & Policy,Grave error histórico de EU: AMLO,"El ex presidente Andrés Manuel López Obrador dirigió ayer un mensaje directo al presidente de Estados Unidos, Donald Trump, para advertirle que la intervención de su gobierno en Venezuela puede convertirse en un grave error histórico. “No olvide que la efímera victoria de hoy puede ser la contundente derrota del mañana. La política no es imposición”, escribió el ex mandatario, luego del ataque contra ese país, la captura del presidente Nicolás Maduro y el anuncio de que Washington administrará e",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/001n1pol?partner=rss,88.44
a1d1cea28a4b13cff3660a58b3807b99,LATINOAMERICA,Politics & Policy,"Se sienta precedente peligroso, afirma la ONU; Consejo de Seguridad sesionará hasta mañana","Nueva York. El secretario general de la Organización de las Naciones Unidas (ONU), Antonio Guterres, expresó ayer su preocupación por el incumplimiento del derecho internacional en la operación efectuada por tropas de Estados Unidos que derivaron en el secuestro del presidente de Venezuela, Nicolás Maduro.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/007n2pol?partner=rss,89.85
d4d43fe23db07b6bd6dc41a13fe4f911,LATINOAMERICA,Politics & Policy,Carlos Fazio: Trump: barbarie imperial,"En otro acto ilegal y flagrante de su presidencia imperial, tras cuatro meses de desplegar una poderosa maquinaria de guerra sobre el mar Caribe para ejecutar una operación de cambio de régimen en Venezuela y apoderarse de sus recursos geoestratégicos (en particular el petróleo), al ordenar bombardear al país sudamericano y secuestrar al presidente constitucional y legítimo, Nicolás Maduro, y a su esposa, Cilia Flores, Donald Trump arrasó con los jirones que quedaban del derecho internacional y ",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/011a1pol?partner=rss,89.35
c5784b91f92017a56cdc46419a58f443,LATINOAMERICA,Politics & Policy,Imputa un gran jurado cargos de narcotráfico y terrorismo,"Un gran jurado estadunidense imputó penalmente a Nicolás Maduro, presidente de Venezuela, y a cinco personas de su círculo más cercano por los supuestos delitos de narcotráfico, terrorismo, conspiración y usos de armas de guerra, ante la corte del distrito sur de Nueva York. Para el trasiego de narcóticos entre 2006 y 2008, Maduro habría utilizado el territorio mexicano bajo la cobertura de la delegación diplomática venezolana.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/006n1pol?partner=rss,88.94
6d7527001795d8f243814d7e073ec1b5,LATINOAMERICA,Politics & Policy,Estamos dispuestos a apoyar ante agresión armada: Moscú,"Moscú. Rusia condenó ayer la “agresión armada” de Estados Unidos contra Venezuela, la cual “causa una profunda preocupación”, y calificó la sustracción ilegal del presidente venezolano, Nicolás Maduro, y su esposa, Cilia Flores, de “violación inaceptable de la soberanía de un Estado independiente”.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/009n1pol?partner=rss,90.92
7b59ad57bf4b45e0c39aa8786da0bfbf,LATINOAMERICA,Politics & Policy,Tribunal Supremo ordena a Delcy Rodríguez asumir como presidenta encargada,"El Tribunal Supremo de Justicia (TSJ) de Venezuela ordenó la noche de este sábado que la vicepresidenta, Delcy Rodríguez, asuma “inmediatamente la presidencia encargada de la República Bolivariana de Venezuela, conforme lo establecido en el artículo 234 de la Constitución”, luego de declarar “la ausencia temporal del presidente de la república, ciudadano Nicolás Maduro Moros, para todos los efectos legales correspondientes”.",https://www.jornada.com.mx/rss/edicion.xml?v=1,https://www.jornada.com.mx/2026/01/04/politica/003n1pol?partner=rss,88.05
53418f749299359577bfcb2bfcec6bbe,LATINOAMERICA,Politics & Policy,"Última hora de Nicolás Maduro detenido y el ataque de EE UU a Venezuela, en directo | Maduro, encarcelado en Nueva York tras su captura en Caracas",Trump asegura que dirigirá Venezuela hasta que haya “una transición segura” | La vicepresidenta venezolana exige la liberación de Maduro y afirma que no serán colonia de nadie | Pedro Sánchez: “Condenamos con rotundidad la violación de la legalidad internacional en Venezuela”,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/internacional/2026-01-04/ultima-hora-de-nicolas-maduro-detenido-y-de-venezuela-tras-el-ataque-de-estados-unidos-en-directo.html,93.79
909e7f6cbd6c69438489c1ce53eae998,LATINOAMERICA,Politics & Policy,Reconstrucción del ataque: así fue la operación de Estados Unidos en Venezuela para capturar a Nicolás Maduro,"Un equipo de las fuerzas especiales Delta, helicópteros y aviones de apoyo participaron en la misión para detener al presidente de Venezuela",https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/internacional/2026-01-03/reconstruccion-del-ataque-asi-fue-la-mision-de-estados-unidos-en-venezuela-para-capturar-a-nicolas-maduro.html,89.79
c6664c1efece2829caab5eb86f1da9c1,LATINOAMERICA,Politics & Policy,Maduro será juzgado por conspirar para inundar Estados Unidos de cocaína desde sus primeros pasos en el Gobierno,"El expresidente venezolano ha aterrizado en un aeropuerto al norte de Nueva York pasadas las cinco de la tarde. Es trasladado a Manhattan, donde permanecerá encerrado hasta que comparezca ante un juez el próximo lunes",https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/america/2026-01-03/maduro-sera-juzgado-en-estados-unidos-por-narcoterrorismo-y-corrupcion.html,88.71
1bb0ca4acca9e335e3f23fd1dbf51d93,LATINOAMERICA,Politics & Policy,"Delcy Rodríguez, entre la supervivencia del régimen y una transición",La vicepresidenta asume el poder ante la “ausencia forzosa” de Maduro y es la figura que deberá administrar la relación del chavismo con Trump,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/america/2026-01-04/delcy-rodriguez-entre-la-supervivencia-del-regimen-y-una-transicion.html,87.22
fabe16332ea6c17be7564e5e8e8c1c5f,LATINOAMERICA,Politics & Policy,Trump captura a Maduro y toma el control de Venezuela: ¿y ahora qué?,El presidente estadounidense asegura que ha asumido de manera unilateral la gestión de la transición venezolana tras la detención del líder chavista,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,https://elpais.com/podcasts/hoy-en-el-pais/2026-01-04/trump-captura-a-maduro-y-toma-el-control-de-venezuela-y-ahora-que.html,91.04
de3e87b92f1fa9ba40fb1ab9837fd144,LATINOAMERICA,Politics & Policy,Fuerte respaldo de Marcos Galperin a la intervención de Estados Unidos en Venezuela,"El fundador de Mercado Libre se sumó a los mensajes de apoyo tras la detención del presidente Nicolás Maduro; calificó al régimen chavista de “empobrecedor, autoritario y asesino”",https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/politica/fuerte-respaldo-de-marcos-galperin-a-la-intervencion-de-estados-unidos-en-venezuela-nid04012026/,87.34
050cd7baa2b7361b20707883f6de6359,LATINOAMERICA,Politics & Policy,La justicia venezolana ordenó la asunción de Delcy Rodríguez como presidenta interina,"La vicepresidenta tomará el mando ante la ausencia del líder del régimen, según establece la Constitución; desde Estados Unidos hablan de “una transición segura, apropiada y legal”",https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/el-mundo/la-justicia-venezolana-declaro-la-asuncion-de-delcy-rodriguez-como-presidenta-interina-nid04012026/,89.63
0ee7e4da0af834bbc47909838a445373,LATINOAMERICA,Politics & Policy,"Tras la captura de Maduro, Trump dijo que EE.UU. va a dirigir Venezuela “hasta una transición apropiada”","El presidente norteamericano calificó de “espectacular” el operativo de extracción del líder chavista, que fue trasladado a Nueva York para enfrentar cargos por narcoterrorismo",https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/estados-unidos/donald-trump-anuncio-que-estados-unidos-capturo-a-maduro-y-a-su-esposa-y-los-saco-de-venezuela-nid03012026/,92.17
aebd18e42f9c3471f8a66e531a1aee0c,LATINOAMERICA,Politics & Policy,Las reacciones del arco político argentino al ataque de Estados Unidos a Venezuela,El gobierno de Donald Trump anunció que capturó a Nicolás Maduro; el presidente Javier Milei celebró la operación,https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/politica/las-reacciones-del-arco-politico-argentino-al-ataque-de-estados-unidos-a-venezuela-nid03012026/,89.79
bde2239b7797f1f35117ef43a404b798,LATINOAMERICA,Politics & Policy,Video: cómo fue el bombardeo de EE.UU. a Venezuela,"Durante la madrugada de este sábado 3 de enero, el presidente Donald Trump reveló que Nicolás Maduro y su esposa fueron capturados tras un ataque al país; mirá todos los clips del ataque",https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/el-mundo/video-como-fue-el-bombardeo-de-eeuu-a-venezuela-nid03012026/,89.38
